지역별(1),2016.06,2017.06,2018.06,2019.06,2020.06,2021.06
서울,-1.3,-2.3,-2.8,-3,-3.3,-3.2
경기,-1,-1.2,-1.2,-1.5,-2.2,-1.8
인천,-0.3,-0.3,-0.3,-0.6,-1.3,-0.2
