"Period",0 Years,0 Years,0 Years,0 Years,0 Years,0 Years,0 Years,0 Years,0 Years,0 Years,0 Years,0 Years,0 Years,0 Years,0 Years,0 Years,0 Years,0 Years
"Period",Expectation of life at age (Total) (Years),Expectation of life at age (Male) (Years),Expectation of life at age (Female) (Years),Probability of dying (Total),Probability of dying (Male),Probability of dying (Female),Number of people left alive at age (Total),Number of people left alive at age (Male),Number of people left alive at age (Female),Person-years lived between ages (Total),Person-years lived between ages (Male),Person-years lived between ages (Female),Person-years lived above age (Total),Person-years lived above age (Male),Person-years lived above age (Female),Number of people dying (Total),Number of people dying (Male),Number of people dying (Female)
"2011",80.6,77.3,84.0,0.00305,0.00338,0.00270,100000,100000,100000,99744,99711,99779,8061721,7726239,8397354,305,338,270
"2012",80.9,77.6,84.2,0.00291,0.00314,0.00267,100000,100000,100000,99754,99735,99774,8086802,7756754,8416956,291,314,267
"2013",81.4,78.1,84.6,0.00294,0.00306,0.00281,100000,100000,100000,99753,99747,99760,8136142,7812423,8459914,294,306,281
"2014",81.8,78.6,85.0,0.00300,0.00320,0.00278,100000,100000,100000,99753,99736,99770,8179783,7857844,8501812,300,320,278
"2015",82.1,79.0,85.2,0.00272,0.00292,0.00251,100000,100000,100000,99772,99751,99795,8206349,7896096,8516689,272,292,251
"2016",82.4,79.3,85.4,0.00281,0.00305,0.00255,100000,100000,100000,99766,99746,99788,8235620,7930488,8540852,281,305,255
"2017",82.7,79.7,85.7,0.00274,0.00302,0.00244,100000,100000,100000,99772,99754,99791,8268809,7966993,8570762,274,302,244
"2018",82.7,79.7,85.7,0.00281,0.00313,0.00246,100000,100000,100000,99767,99741,99794,8273527,7973723,8573480,281,313,246
"2019",83.3,80.3,86.3,0.00268,0.00295,0.00240,100000,100000,100000,99779,99764,99795,8328613,8027284,8630064,268,295,240
"2020",83.5,80.5,86.5,0.00243,0.00272,0.00212,100000,100000,100000,99803,99780,99828,8348050,8048860,8647362,243,272,212
