시도별,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
서울특별시,1,-2.8,-8.5,-8.8,-18.1,-23.5,-26.2,-31.9,-35.6,-47.4
인천광역시,1.1,1.4,-2.8,-3.6,-9.2,-15.4,-17.8,-27.7,-36.3,-39.9
경기도,0.2,-1.3,-6.3,-6.3,-11.3,-16.7,-16.1,-22.5,-27.1,-30.8
